ftw.directoryservice.contact
location;firstname;lastname;email
Mandant 1;Giuseppe;a Marca;giuseppe.a.marca@4teamwork.ch
Mandant 1;Alois;Ab Yberg;alois.ab.yberg@4teamwork.ch
Mandant 1;Fabio;Abate;fabio.abate@4teamwork.ch
Mandant 1;Johann Jakob;Abegg;johann.jakob.abegg@4teamwork.ch
Mandant 1;Alfred;Abt;alfred.abt@4teamwork.ch
Mandant 1;Heinrich E.;Ackermann;heinrich.e..ackermann@4teamwork.ch
Mandant 1;H. Roman;Acklin;h..roman.acklin@4teamwork.ch
Mandant 1;Walter;Adam;walter.adam@4teamwork.ch
Mandant 1;Joseph;Addor;joseph.addor@4teamwork.ch
Mandant 1;Peter;Ador;peter.ador@4teamwork.ch
Mandant 1;Jakob Josef;Aebersold;jakob.josef.aebersold@4teamwork.ch
Mandant 1;Jules-Henri;Aebi;jules-henri.aebi@4teamwork.ch
Mandant 1;Gustave;Aebischer;gustave.aebischer@4teamwork.ch
Mandant 1;Ernst;Aeby;ernst.aeby@4teamwork.ch
Mandant 1;Andreas;Aepli;andreas.aepli@4teamwork.ch
Mandant 1;Max;Aeppli;max.aeppli@4teamwork.ch
Mandant 1;Paul;Aeschbach;paul.aeschbach@4teamwork.ch
Mandant 1;Pierre;Aeschbacher;pierre.aeschbacher@4teamwork.ch
Mandant 1;Arnold Otto;Affolter;arnold.otto.affolter@4teamwork.ch
Mandant 1;A. Otto;Agostinetti;a..otto.agostinetti@4teamwork.ch
Mandant 1;Regine;Aguet;regine.aguet@4teamwork.ch
Mandant 1;Adolf;Agustoni;adolf.agustoni@4teamwork.ch
Mandant 1;Ferdinand;Airoldi;ferdinand.airoldi@4teamwork.ch
Mandant 1;Ruedi;Akeret;ruedi.akeret@4teamwork.ch
Mandant 1;Amanz Kaspar;Albrecht;amanz.kaspar.albrecht@4teamwork.ch
Mandant 1;Hans;Albrici;hans.albrici@4teamwork.ch
Mandant 1;Emilio;Alder;emilio.alder@4teamwork.ch
Mandant 1;Mario;Aliesch;mario.aliesch@4teamwork.ch
Mandant 1;Giovanni;Allemann;giovanni.allemann@4teamwork.ch
Mandant 1;Erwin;Allenspach;erwin.allenspach@4teamwork.ch
Mandant 1;Jakob;Allet;jakob.allet@4teamwork.ch
Mandant 1;H. Jakob;Allgöwer;h..jakob.allgöwer@4teamwork.ch
Mandant 1;Luigi;Alméras;luigi.alméras@4teamwork.ch
Mandant 1;August;Altherr;august.altherr@4teamwork.ch
Mandant 1;Prospero;Altwegg;prospero.altwegg@4teamwork.ch
Mandant 1;Claudius;Amacker;claudius.amacker@4teamwork.ch
Mandant 1;Fredi;Amacker-Amann;fredi.amacker-amann@4teamwork.ch
Mandant 1;Werner;Amberg;werner.amberg@4teamwork.ch
Mandant 1;Evi;Ambühl;evi.ambühl@4teamwork.ch
Mandant 1;Heinz;Amgwerd;heinz.amgwerd@4teamwork.ch
Mandant 1;Alexis;Amherd;alexis.amherd@4teamwork.ch
Mandant 1;Alexandre Félix;Ammann;alexandre.félix.ammann@4teamwork.ch
Mandant 1;Hermann;Ammann Schoch;hermann.ammann.schoch@4teamwork.ch
Mandant 1;Gustav;Amsler;gustav.amsler@4teamwork.ch
Mandant 1;Johannes;Amstad;johannes.amstad@4teamwork.ch
Mandant 1;Antoine-Joseph;Amstalden;antoine-joseph.amstalden@4teamwork.ch
Mandant 1;Kathrin;Amstutz;kathrin.amstutz@4teamwork.ch
Mandant 1;Johann;Ancrenaz;johann.ancrenaz@4teamwork.ch
Mandant 1;Johann Ulrich;Anderegg;johann.ulrich.anderegg@4teamwork.ch
Mandant 1;Madeleine;Andermatt;madeleine.andermatt@4teamwork.ch
Mandant 2;Viola;Anderwert;viola.anderwert@4teamwork.ch
Mandant 2;Johann-Kaspar;André;johann-kaspar.andré@4teamwork.ch
Mandant 2;Johann Heinrich;Andres;johann.heinrich.andres@4teamwork.ch
Mandant 2;P. Albert;Anet;p..albert.anet@4teamwork.ch
Mandant 2;Ulrich;Anliker;ulrich.anliker@4teamwork.ch
Mandant 2;Regina;Antille;regina.antille@4teamwork.ch
Mandant 2;Johann-Rudolf;Antognini;johann-rudolf.antognini@4teamwork.ch
Mandant 2;Joh. Josef M.;Aregger;joh..josef.m..aregger@4teamwork.ch
Mandant 2;Eduard;Arni;eduard.arni@4teamwork.ch
Mandant 2;Adrian;Arnold;adrian.arnold@4teamwork.ch
Mandant 2;Jean-Louis;Arpagaus;jean-louis.arpagaus@4teamwork.ch
Mandant 2;Johann Georg;Ast;johann.georg.ast@4teamwork.ch
Mandant 2;Georg Friedrich;Aubert;georg.friedrich.aubert@4teamwork.ch
Mandant 2;Emil;Aubry;emil.aubry@4teamwork.ch
Mandant 2;Josef;Auer;josef.auer@4teamwork.ch
Mandant 2;Othmar;Auf der Mauer;othmar.auf.der.mauer@4teamwork.ch
Mandant 2;Jos. Fridolin;Auf der Maur;jos..fridolin.auf.der.maur@4teamwork.ch
Mandant 2;Henri;Augsburger;henri.augsburger@4teamwork.ch
Mandant 2;Rosemarie;Auroi;rosemarie.auroi@4teamwork.ch
Mandant 2;Charles-Albert;Baader;charles-albert.baader@4teamwork.ch
Mandant 2;Francesco;Babel;francesco.babel@4teamwork.ch
Mandant 2;Secondo-Vittorio;Bacciarini;secondo-vittorio.bacciarini@4teamwork.ch
