"location";"firstname";"lastname";"email";"userid";"groups"
"GDS";"Hans";"Muster";"hans.muster@4teamwork.ch";"hans.muster";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Matthias";"Meyer";"matthias.meyer@zg.ch";"METT";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Sandra";"Kaufmann";"sandra.kaufmann@zg.ch";"KAND";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";;"Sekretariat";"demo@4teamwork.ch";"sekretariat";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Pia";"Räber";"pia.raeber@zg.ch";"RAPI";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";;"Lesen";"demo@4teamwork.ch";"lesen";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Jasmine";"Zehnder";"jasmine.zehnder@zg.ch";"GRJA";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Elisabeth";"Käppeli";"elisabeth.kaeppeli@zg.ch";"KAEL";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Brigitte";"Schmid";"brigitte.schmid@allg.zg.ch";"brigitte.schmid";"og_mandant1_users, og_mandant1_sekretariat"
"GDS";"Thomas";"Schaerli";"thomas.schaerli@gmail.com";"thomas.schaerli";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";"Hugo";"Boss";"demo@4teamwork.ch";"hugo.boss";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";"Sarah";"Rojas-Künzle";"sarah.rojas@zg.ch";"ROAH";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";;"Verwalter";"demo@4teamwork.ch";"verwalter";"og_mandant2_users, og_mandant2_verwalter"
"GDS";"Doris";"Furrer";"doris.furrer@zg.ch";"FUDO";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";"Roger";"Wermuth";"roger.wermuth@zg.ch";"WERO";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";"Isabelle";"Ellenberger";"isabelle.ellenberger@zg.ch";"GRIS";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";"Marco";"Müller";"marco.mueller@zg.ch";"MURC";"og_mandant2_users, og_mandant2_sekretariat"
"GDS";;"Sachbearbeiter";"demo@4teamwork.ch";"sachbearbeiter";"og_mandant2_users, og_mandant2_sachbearbeiter"
"GDS";"Marc";"Strasser";"marc.strasser@zg.ch";"MAST";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";;"Vorsteher";"demo@4teamwork.ch";"vorsteher";"og_mandant3_users, og_mandant3_vorsteher"
"GDS";"Sylvia";"Brugger";"sylvia.brugger@zg.ch";"BISY";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";;"Administrator";"demo@4teamwork.ch";"admin";"og_mandant3_users, og_mandant3_administrators"
"GDS";"Gisela";"von Büren";"gisela.vonbueren@zg.ch";"BUEL";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";"Renate";"Landolt";"renate.landolt@zg.ch";"LARE";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";"Karin";"Bachmann-Villiger";"karin.bachmann@zg.ch";"VIKA";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";"Daniela";"Sidler";"daniela.sidler@zg.ch";"SIDD";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";"Olivier";"Debenath";"olivier.debenath@allg.zg.ch";"olivier.debenath";"og_mandant3_users, og_mandant3_sekretariat"
"GDS";"Eins";"Mandant";"demo@4teamwork.ch";"mandant1";"og_mandant1_users, og_mandant1_sachbearbeiter"
"GDS";"Zwei";"Mandant";"demo@4teamwork.ch";"mandant2";"og_mandant2_users, og_mandant3_sachbearbeiter"
"GDS";"Drei";"Mandant";"demo@4teamwork.ch";"mandant3";"og_mandant3_users, og_mandant3_sachbearbeiter"
